seconds,data
float,int
,
1.1766875,75
1.17675,73
1.1768125,72
1.176875,72
1.1769375,70
1.177,70
1.1770625,68
1.177125,66
1.1771875,64
1.17725,62
1.1773125,61
1.177375,59
1.1774375,59
1.1775,59
1.1775625,59
1.177625,65
1.1776875,69
1.17775,82
1.1778125,140
1.177875,173
1.1779375,190
1.178,197
1.1780625,204
1.178125,208
1.1781875,211
1.17825,213
1.1783125,214
1.178375,213
1.1784375,212
1.1785,210
1.1785625,208
1.178625,203
1.1786875,198
1.17875,192
1.1788125,181
1.178875,167
1.1789375,142
1.179,99
1.1790625,85
1.179125,81
1.1791875,80
1.17925,77
1.1793125,76
1.179375,75
1.1794375,75
1.1795,72
1.1795625,69
1.179625,68
1.1796875,64
1.17975,61
1.1798125,59
1.179875,57
1.1799375,57
1.18,56
1.1800625,57
1.180125,59
1.1801875,62
1.18025,68
1.1803125,77
1.180375,95
1.1804375,154
1.1805,175
1.1805625,187
1.180625,193
1.1806875,197
1.18075,201
1.1808125,202
1.180875,203
1.1809375,202
1.181,201
1.1810625,199
1.181125,195
1.1811875,190
1.18125,185
1.1813125,176
1.181375,162
1.1814375,138
1.1815,99
1.1815625,86
1.181625,81
1.1816875,77
1.18175,76
1.1818125,74
1.181875,75
1.1819375,76
1.182,75
1.1820625,74
1.182125,72
1.1821875,71
1.18225,69
1.1823125,68
1.182375,67
1.1824375,66
1.1825,65
1.1825625,66
1.182625,67
1.1826875,68
1.18275,72
1.1828125,78
1.182875,88
1.1829375,104
1.183,141
1.1830625,169
1.183125,177
1.1831875,185
1.18325,189
1.1833125,192
1.183375,194
1.1834375,197
1.1835,195
1.1835625,194
1.183625,196
1.1836875,191
1.18375,193
1.1838125,189
1.183875,185
1.1839375,181
1.184,168
1.1840625,168
1.184125,140
1.1841875,109
1.18425,102
1.1843125,89
1.184375,86
1.1844375,82
1.1845,83
1.1845625,77
1.184625,74
1.1846875,73
1.18475,72
1.1848125,69
1.184875,68
1.1849375,70
1.185,69
1.1850625,68
1.185125,70
1.1851875,72
1.18525,71
1.1853125,74
1.185375,76
1.1854375,80
1.1855,81
1.1855625,87
1.185625,100
1.1856875,98
1.18575,109
1.1858125,133
1.185875,136
1.1859375,142
1.186,144
1.1860625,152
1.186125,129
1.1861875,116
1.18625,107
1.1863125,94
1.186375,85
1.1864375,78
1.1865,75
1.1865625,69
1.186625,65
1.1866875,63
1.18675,60
1.1868125,59
1.186875,58
1.1869375,57
1.187,59
1.1870625,60
1.187125,64
1.1871875,71
1.18725,79
1.1873125,105
1.187375,157
1.1874375,179
1.1875,188
1.1875625,195
1.187625,201
1.1876875,204
1.18775,206
1.1878125,207
1.187875,208
1.1879375,208
1.188,207
1.1880625,205
1.188125,202
1.1881875,200
1.18825,196
1.1883125,192
1.188375,185
1.1884375,177
1.1885,167
1.1885625,152
1.188625,126
1.1886875,105
1.18875,97
1.1888125,91
1.188875,88
1.1889375,83
1.189,80
1.1890625,76
1.189125,73
1.1891875,69
1.18925,66
1.1893125,63
1.189375,62
1.1894375,60
1.1895,59
1.1895625,59
1.189625,59
1.1896875,61
1.18975,63
1.1898125,67
1.189875,73
1.1899375,82
1.19,99
1.1900625,149
1.190125,170
1.1901875,179
1.19025,186
1.1903125,190
1.190375,193
1.1904375,195
1.1905,196
1.1905625,196
1.190625,194
1.1906875,193
1.19075,191
1.1908125,188
1.190875,185
1.1909375,180
1.191,174
1.1910625,168
1.191125,159
1.1911875,143
1.19125,113
1.1913125,100
1.191375,92
1.1914375,86
1.1915,85
1.1915625,82
1.191625,80
1.1916875,78
1.19175,77
1.1918125,76
1.191875,74
1.1919375,74
1.192,73
1.1920625,72
1.192125,71
1.1921875,71
1.19225,70
1.1923125,71
1.192375,72
1.1924375,75
1.1925,79
1.1925625,85
1.192625,94
1.1926875,113
1.19275,148
1.1928125,162
1.192875,173
1.1929375,178
1.193,184
1.1930625,187
1.193125,190
1.1931875,192
1.19325,190
1.1933125,194
1.193375,190
1.1934375,189
1.1935,188
1.1935625,182
1.193625,182
1.1936875,169
1.19375,168
1.1938125,157
1.193875,108
1.1939375,118
1.194,89
1.1940625,86
1.194125,80
1.1941875,77
1.19425,77
1.1943125,72
1.194375,75
