1267,  43164,  completed,  eof,  2018-09-18 04:24:26,  2018-09-18 04:25:59,  93,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.055045.modelParams|spParams|synPermInactiveDec_0.055135.modelParams|sensorParams|encoders|data:n_296,  4000,  11,  14,  3,  0.055045,  296,  0.055135,  5.07511847053,  4.01404564479, 
1267,  43165,  completed,  eof,  2018-09-18 04:24:31,  2018-09-18 04:26:13,  102,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0632979621241.modelParams|spParams|synPermInactiveDec_0.0552417844448.modelParams|sensorParams|encoders|data:n_344,  4000,  11,  14,  3,  0.0632979621241,  344,  0.0552417844448,  5.29079442085,  4.18462946743, 
1267,  43166,  completed,  eof,  2018-09-18 04:24:37,  2018-09-18 04:26:17,  100,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.08002.modelParams|spParams|synPermInactiveDec_0.03021.modelParams|sensorParams|encoders|data:n_371,  4000,  10,  15,  4,  0.08002,  371,  0.03021,  5.27554957443,  4.17257191454, 
1267,  43167,  completed,  eof,  2018-09-18 04:24:47,  2018-09-18 04:25:35,  48,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1.modelParams|sensorParams|encoders|data:n_53,  4000,  9,  12,  1,  0.0001,  53,  0.1,  3.71,  2.93433728269, 
1267,  43168,  completed,  eof,  2018-09-18 04:24:48,  2018-09-18 04:25:36,  48,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00979131960174.modelParams|spParams|synPermInactiveDec_0.0863833802351.modelParams|sensorParams|encoders|data:n_66,  4000,  9,  12,  1,  0.00979131960174,  66,  0.0863833802351,  5.68596160798,  4.49717766422, 
1267,  43169,  completed,  eof,  2018-09-18 04:25:35,  2018-09-18 04:26:49,  74,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1.modelParams|sensorParams|encoders|data:n_48,  4000,  9,  12,  1,  0.0001,  48,  0.1,  3.71,  2.93433728269, 
1267,  43170,  completed,  eof,  2018-09-18 04:25:37,  2018-09-18 04:26:56,  79,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0113858394616.modelParams|spParams|synPermInactiveDec_0.0894935581094.modelParams|sensorParams|encoders|data:n_102,  4000,  10,  12,  2,  0.0113858394616,  102,  0.0894935581094,  6.18175644621,  4.88931493602, 
1267,  43171,  completed,  eof,  2018-09-18 04:25:39,  2018-09-18 04:27:00,  81,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00154893198748.modelParams|spParams|synPermInactiveDec_0.1.modelParams|sensorParams|encoders|data:n_75,  4000,  9,  13,  1,  0.00154893198748,  75,  0.1,  7.60573587036,  6.01557798564, 
1267,  43176,  completed,  eof,  2018-09-18 04:25:39,  2018-09-18 04:27:01,  82,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00109240916937.modelParams|spParams|synPermInactiveDec_0.1.modelParams|sensorParams|encoders|data:n_92,  4000,  9,  13,  1,  0.00109240916937,  92,  0.1,  6.24489386493,  4.93925199308, 
1267,  43182,  completed,  eof,  2018-09-18 04:25:39,  2018-09-18 04:26:57,  78,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.001973125.modelParams|spParams|synPermInactiveDec_0.098130625.modelParams|sensorParams|encoders|data:n_56,  4000,  9,  12,  1,  0.001973125,  56,  0.098130625,  5.8800604437,  4.65069557532, 
